label;query;precision
STEEMER;1;0.4
STEEMER;2;0.0
STEEMER;3;0.2
STEEMER;4;0.0
STEEMER;5;0.6
STEEMER;6;0.2
STEEMER;7;0.4
STEEMER;8;0.2
STEEMER;9;0.0
STEEMER;10;0.2
STEEMER;11;0.6
STEEMER;12;0.0
STEEMER;13;0.0
STEEMER;14;0.8
STEEMER;15;0.2
STEEMER;16;1.0
STEEMER;17;0.4
STEEMER;18;0.4
STEEMER;19;0.4
STEEMER;20;1.0
STEEMER;21;0.2
STEEMER;22;1.0
STEEMER;23;0.2
STEEMER;24;0.0
STEEMER;25;0.6
STEEMER;26;0.2
STEEMER;27;0.2
STEEMER;28;0.2
STEEMER;29;0.0
STEEMER;30;0.4
STEEMER;31;0.4
STEEMER;32;0.2
STEEMER;33;0.2
STEEMER;34;0.8
STEEMER;35;0.2
STEEMER;36;0.2
STEEMER;37;1.0
STEEMER;38;0.2
STEEMER;39;0.4
STEEMER;40;0.4
STEEMER;41;0.4
STEEMER;42;1.0
STEEMER;43;0.2
STEEMER;44;0.4
STEEMER;45;0.2
STEEMER;46;0.4
STEEMER;47;0.0
STEEMER;48;0.0
STEEMER;49;1.0
STEEMER;50;0.2
STEEMER;51;0.2
STEEMER;52;0.0
STEEMER;53;0.2
STEEMER;54;0.6
STEEMER;55;0.0
STEEMER;56;0.2
STEEMER;57;0.4
STEEMER;58;0.6
STEEMER;59;0.0
STEEMER;60;0.0
STEEMER;61;0.4
STEEMER;62;0.4
STEEMER;63;0.2
STEEMER;64;0.0
STEEMER;65;0.6
STEEMER;66;0.2
STEEMER;67;0.2
STEEMER;68;0.2
STEEMER;69;0.2
STEEMER;70;0.2
STEEMER;71;0.2
STEEMER;72;0.6
STEEMER;73;0.2
STEEMER;74;0.2
STEEMER;75;0.4
STEEMER;76;0.2
STEEMER;77;0.6
STEEMER;78;0.6
STEEMER;79;0.4
STEEMER;80;0.2
STEEMER;81;0.6
STEEMER;82;0.2
STEEMER;83;0.6
STEEMER;84;0.6
STEEMER;85;0.2
STEEMER;86;0.6
STEEMER;87;0.2
STEEMER;88;0.0
STEEMER;89;0.0
STEEMER;90;0.2
STEEMER;91;1.0
STEEMER;92;0.8
STEEMER;94;0.6
STEEMER;95;0.2
STEEMER;96;0.0
STEEMER;97;0.2
STEEMER;98;0.0
STEEMER;99;0.0
STEEMER;100;0.6
