label;query;precision
NOSTEEMER;1;0.4
NOSTEEMER;2;0.0
NOSTEEMER;3;0.2
NOSTEEMER;4;0.0
NOSTEEMER;5;0.4
NOSTEEMER;6;0.2
NOSTEEMER;7;0.2
NOSTEEMER;8;0.2
NOSTEEMER;9;0.0
NOSTEEMER;10;0.2
NOSTEEMER;11;0.8
NOSTEEMER;12;0.2
NOSTEEMER;13;0.0
NOSTEEMER;14;0.4
NOSTEEMER;15;0.4
NOSTEEMER;16;1.0
NOSTEEMER;17;0.4
NOSTEEMER;18;0.2
NOSTEEMER;19;0.6
NOSTEEMER;20;1.0
NOSTEEMER;21;0.2
NOSTEEMER;22;1.0
NOSTEEMER;23;0.0
NOSTEEMER;24;0.2
NOSTEEMER;25;0.6
NOSTEEMER;26;1.0
NOSTEEMER;27;0.0
NOSTEEMER;28;1.0
NOSTEEMER;29;0.0
NOSTEEMER;30;0.4
NOSTEEMER;31;0.6
NOSTEEMER;32;0.2
NOSTEEMER;33;0.6
NOSTEEMER;34;0.8
NOSTEEMER;35;0.4
NOSTEEMER;36;0.0
NOSTEEMER;37;1.0
NOSTEEMER;38;0.2
NOSTEEMER;39;0.8
NOSTEEMER;40;0.6
NOSTEEMER;41;0.4
NOSTEEMER;42;0.8
NOSTEEMER;43;0.0
NOSTEEMER;44;0.2
NOSTEEMER;45;0.2
NOSTEEMER;46;0.2
NOSTEEMER;47;0.2
NOSTEEMER;48;0.0
NOSTEEMER;49;1.0
NOSTEEMER;50;0.2
NOSTEEMER;51;0.4
NOSTEEMER;52;0.0
NOSTEEMER;53;0.4
NOSTEEMER;54;0.0
NOSTEEMER;55;0.0
NOSTEEMER;56;0.2
NOSTEEMER;57;0.6
NOSTEEMER;58;0.2
NOSTEEMER;59;0.0
NOSTEEMER;60;0.2
NOSTEEMER;61;0.4
NOSTEEMER;62;0.6
NOSTEEMER;63;0.0
NOSTEEMER;64;0.0
NOSTEEMER;65;0.2
NOSTEEMER;66;0.2
NOSTEEMER;67;0.4
NOSTEEMER;68;0.4
NOSTEEMER;69;0.2
NOSTEEMER;70;0.0
NOSTEEMER;71;0.4
NOSTEEMER;72;0.6
NOSTEEMER;73;0.6
NOSTEEMER;74;0.0
NOSTEEMER;75;0.4
NOSTEEMER;76;0.2
NOSTEEMER;77;0.6
NOSTEEMER;78;0.6
NOSTEEMER;79;0.4
NOSTEEMER;80;0.2
NOSTEEMER;81;0.2
NOSTEEMER;82;0.4
NOSTEEMER;83;0.4
NOSTEEMER;84;0.4
NOSTEEMER;85;0.0
NOSTEEMER;86;0.6
NOSTEEMER;87;0.4
NOSTEEMER;88;0.0
NOSTEEMER;89;0.2
NOSTEEMER;90;0.2
NOSTEEMER;91;1.0
NOSTEEMER;92;0.6
NOSTEEMER;94;0.4
NOSTEEMER;95;0.0
NOSTEEMER;96;0.2
NOSTEEMER;97;0.2
NOSTEEMER;98;0.2
NOSTEEMER;99;0.0
NOSTEEMER;100;0.0
